,Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
1039,-1390500.57,-329.746,-183177.572,5,1.864,0,1,102.7938,44.6405,8.9916,5.0038
1040,-1506045.18,-415.67,-192020.695,5,1.852,0,1,110.7948,42.8498,8.9916,5.0038
1041,-1589161.29,-841.742,-200356.34,5,1.852,0,1,104.6226,45.1485,9.906,5.4991
1042,-1696137.22,-993.033,-206577.956,5,1.838,0,1,106.6038,45.6946,10.8966,6.0452
1043,-1851505.78,-1171.179,-208514.472,5,1.824,0,1,107.823,46.0502,11.5062,6.4008
1044,-19928.395,-0.189,994.827,15,2.414,0,1,30.6324,20.4343,1.4605,0.8509
1045,-20613.084,-0.443,1012.349,15,2.455,0,1,25.654,20.3708,1.5748,0.889
1046,-23510.619,-1.791,1087.253,15,2.613,0,1,21.59,20.5994,1.7399,1.016
1047,-28479.205,-3.997,1128.776,15,2.6,0,1,25.3492,25.4,1.4224,0.8636
1048,-32363.574,-5.593,1249.237,15,2.558,0,1,25.6286,25.4762,1.5621,0.9398
1049,-37192.253,-7.63,1400.312,15,2.52,0,1,25.9588,25.6032,1.7272,1.0668
1050,-35494.893,-6.443,1566.612,15,2.536,0,1,22.86,21.0312,2.3749,1.4478
1051,-43982.554,-10.502,1598.341,15,2.481,0,1,26.416,25.7302,1.9558,1.1938
1052,-49915.311,-12.937,1795.954,15,2.458,0,1,26.924,25.8826,2.2098,1.3462
1053,-56700.733,-15.624,2033.736,15,2.437,0,1,27.5336,26.0731,2.5146,1.5367
1054,-66223.948,-19.46,2289.005,15,2.415,0,1,28.194,26.2636,2.8448,1.7272
1055,-75021.804,-22.954,2529.292,15,2.4,0,1,28.8544,26.4541,3.175,1.9177
1056,-247257.026,-92.287,5081.51,15,2.319,0,1,40.259,33.3756,6.2738,3.8862
1057,-482666.193,-247.174,6822.327,15,2.3,0,1,48.3108,42.7609,8.1534,5.1181
1058,-220538.646,8.859,-903.457,15,2.365,0,1,39.1414,33.0327,5.715,3.5433
1059,-541955.147,-10.521,-3016.679,15,2.364,0,1,49.784,43.2054,8.89,5.5626
1060,-607675.462,-17.557,-3963.804,15,2.37,0,1,51.4096,43.688,9.7028,6.0452
1061,-677795.241,-27.369,-4955.675,15,2.377,0,1,53.1368,44.2341,10.5664,6.5913
1062,-59706.796,0.373,-190.164,9,2.309,0,1,41.4782,25.9969,1.6891,1.0033
1063,-71751.045,2.545,-202.934,9,2.444,0,1,46.2534,28.0289,1.7272,1.0795
1064,-84051.401,5.371,-198.081,9,2.418,0,1,46.2534,28.0289,1.7272,1.0795
1065,-89527.429,6.748,-222.982,9,2.39,0,1,46.7106,28.1686,1.9558,1.2192
1066,-118538.427,5.863,-248.931,9,2.257,0,1,68.3768,25.3746,1.8923,1.2446
1067,-105354.021,11.007,-248.431,9,2.355,0,1,47.2186,28.3083,2.2098,1.3589
1068,-123302.696,15.454,-263.508,9,2.303,0,1,54.2544,31.2166,2.032,1.27
1069,-143534.235,18.71,-275.44,9,2.267,0,1,61.1124,32.385,1.905,1.27
1070,-164906.618,12.651,-306.344,9,2.232,0,1,69.3166,25.5778,2.3622,1.4478
1071,-163987.859,25.211,-311.778,9,2.251,0,1,61.6204,32.512,2.159,1.397
1072,-189965.443,16.069,-340.004,9,2.202,0,1,76.6318,26.7081,2.3622,1.4859
1073,-193760.55,17.72,-350.993,9,2.219,0,1,70.1802,25.4254,2.794,1.5494
1075,-243367.308,25.231,-387.982,9,2.173,0,1,90.297,30.353,2.0066,1.524
1076,-247933.764,28.743,-405.855,9,2.18,0,1,84.582,29.2989,2.4384,1.5367
1077,-280122.929,35.254,-437.899,9,2.168,0,1,91.059,30.4165,2.3876,1.5875
1078,-310309.403,44.089,-447.367,9,2.168,0,1,91.4654,30.48,2.5908,1.651
1079,-335473.592,46.194,-446.076,9,2.155,0,1,98.0186,29.9974,2.6035,1.651
